model_name,timestamp,prompt_name,sms_id,sms_text,original_classification,model_classification,explanation,is_correct
gemma-3n-e4b-it,2025-07-01T20:47:36.146333,prompt_02,34,You finishing class at 6 right?,benign,benign,The SMS is a simple question about plans and doesn't contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:37.341479,prompt_02,35,If he started searching he will get job in few days.he have great potential and talent.,benign,benign,"The SMS appears to be a casual statement of encouragement and does not contain any suspicious elements like links, requests for personal information, or urgent calls to action.",True
gemma-3n-e4b-it,2025-07-01T20:47:38.645619,prompt_02,36,We'll you pay over like <#> yrs so its not too difficult,benign,smishing,"The SMS contains unusual phrasing (""We'll you pay over like <#> yrs"") which is often used in scams to lure victims. It implies a financial transaction and potentially requests for personal information, making it suspicious.",False
gemma-3n-e4b-it,2025-07-01T20:47:39.670348,prompt_02,37,"Ttyl, see u around!",benign,benign,The SMS is a casual closing remark and doesn't contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:40.898496,prompt_02,38,Btw I'm waiting for you by the business office,benign,benign,The SMS is a simple inquiry about a planned dinner and doesn't contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:41.928700,prompt_02,39,"Mom,I want a new baseball bat to play baseball as my last one is broken",benign,benign,The SMS is a casual message from a family member asking about a request. It does not contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:43.072503,prompt_02,40,Oh all have to come ah?,benign,benign,The SMS is a casual question about a planned dinner and doesn't contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:44.175337,prompt_02,41,Just like carnival that promotes environmental stuff.,benign,benign,The SMS is a casual inquiry about a dinner plan and does not contain any suspicious elements.,True
gemma-3n-e4b-it,2025-07-01T20:47:45.777988,prompt_02,42,If u dont know who is Rajnikanth.. 1) Rajnikanth can delete d Recycle Bin 2) Rajnikanth can drown a fish. 3) Rajnikanth can kill a bird with two stones. 4) In an avrg living room thr r 1242 objcts Rajnikanth culd use to kill u including room itself. 5)If u spell Rajnikanth wrong on Google it doesnt say did u mean Rajnikanth. It simply replies Run while u still hav d chance. 6)When Rajnikanth looks in mirror d mirror shatters bcoz not even glass is stupid to get in betwn Rajnikanth & Rajnikanth. 7) Where der is will der is way. Where der is Rajnikanth der is no othr way. 9) Gmail id of Rajnikanth gmail.com@RAJNIKANTH MIND IT,benign,smishing,"The SMS uses a bizarre and threatening narrative centered around Rajnikanth, which is a common tactic to lure recipients into clicking a link or providing information. The unusual and illogical claims are designed to grab attention and potentially bypass critical thinking. The inclusion of a suspicious-looking email address further reinforces the likelihood of it being a smishing attempt.",False
gemma-3n-e4b-it,2025-07-01T20:47:47.012869,prompt_02,43,Hahaha oh btw the dbsk thing is probably expensive!,benign,benign,"The SMS is a casual message about a past event (""dbsk thing"") and doesn't contain any suspicious elements or requests for personal information. It appears to be a simple, informal communication.",True
